cod_municipio_ibge,cod_produto,ano,qtd_produzida_ton,area_colhida_ha,valor_producao_reais,produtividade_ton_ha
3503208,41151,2015,59762.0,3040.0,30576052.0,19.658552631578946
3503208,41151,2016,48091.0,3032.0,42397746.0,15.861147757255937
3503208,41151,2017,51414.0,3440.0,51776257.0,14.945930232558139
3503208,41151,2018,48244.0,3127.0,33152480.0,15.428205948193156
3503208,41151,2019,63018.0,2934.0,39987607.0,21.478527607361965
3503208,41151,2020,58316.0,3378.0,69289742.0,17.26346950858496
3503208,41151,2021,49333.0,3111.0,46182601.0,15.85760205721633
3503208,41151,2022,50813.0,3179.0,31298687.0,15.983957219251337
3503208,41151,2023,47410.0,3410.0,49497777.0,13.903225806451612
3503208,41155,2015,11734.0,2754.0,14578234.0,4.260711692084241
3503208,41155,2016,13717.0,2492.0,12441991.0,5.504414125200642
3503208,41155,2017,10604.0,2608.0,18121293.0,4.065950920245399
3503208,41155,2018,14006.0,2727.0,8628724.0,5.136046938027136
3503208,41155,2019,10612.0,2510.0,13108082.0,4.22788844621514
3503208,41155,2020,13776.0,2732.0,14021525.0,5.0424597364568085
3503208,41155,2022,11386.0,2319.0,20827424.0,4.909874946097456
3503208,41155,2023,13175.0,2679.0,10273180.0,4.917879805897723
3503208,41176,2015,2456.0,676.0,3925003.0,3.633136094674556
3503208,41176,2016,2082.0,595.0,,3.499159663865546
3503208,41176,2017,1949.0,590.0,2071007.0,3.3033898305084746
3503208,41176,2018,2550.0,661.0,2397500.0,3.8577912254160363
3503208,41176,2019,2202.0,699.0,1488198.0,3.1502145922746783
3503208,41176,2020,1980.0,611.0,2674584.0,3.2405891980360066
3503208,41176,2021,2495.0,698.0,,3.5744985673352434
3503208,41176,2022,2074.0,639.0,2642072.0,3.2456964006259783
3503208,41176,2023,2187.0,707.0,3716109.0,3.0933521923620932
3503208,41160,2015,1000.0,121.0,681876.0,8.264462809917354
3503208,41160,2017,1243.0,126.0,,9.865079365079366
3503208,41160,2018,1136.0,124.0,1096321.0,9.161290322580646
3503208,41160,2020,979.0,125.0,681685.0,7.832
3503208,41160,2021,1287.0,136.0,1725245.0,9.463235294117647
3503208,41160,2022,1027.0,139.0,1683646.0,7.388489208633094
3503208,41160,2023,1240.0,129.0,1179946.0,9.612403100775193
3506102,41151,2015,88762.0,3877.0,,22.89450606138767
3506102,41151,2016,95558.0,4399.0,79931613.0,21.722664241873154
3506102,41151,2017,95997.0,4312.0,104498692.0,22.262755102040817
3506102,41151,2018,95587.0,3994.0,85696537.0,23.93264897346019
3506102,41151,2019,95512.0,3684.0,94485396.0,25.926167209554833
3506102,41151,2020,78532.0,4304.0,38203972.0,18.24628252788104
3506102,41151,2022,88883.0,3989.0,105319222.0,22.282025570318375
3506102,41151,2023,97753.0,3880.0,47578539.0,25.194072164948455
3506102,41155,2015,16084.0,2600.0,19469368.0,6.186153846153847
3506102,41155,2016,16124.0,2821.0,31093913.0,5.715703651187522
3506102,41155,2017,17927.0,2956.0,18942673.0,6.064614343707713
3506102,41155,2018,19329.0,2674.0,26997729.0,7.228496634255796
3506102,41155,2019,18506.0,2759.0,22549568.0,6.707502718376223
3506102,41155,2020,18810.0,2737.0,28767926.0,6.872488125685057
3506102,41155,2021,19669.0,2659.0,13073968.0,7.397141782625047
3506102,41155,2022,18326.0,2985.0,20847105.0,6.139363484087102
3506102,41155,2023,20127.0,3020.0,18242661.0,6.664569536423841
3506102,41176,2015,1335.0,562.0,1793685.0,2.3754448398576513
3506102,41176,2016,1709.0,558.0,3195140.0,3.0627240143369177
3506102,41176,2017,1683.0,541.0,2842157.0,3.11090573012939
3506102,41176,2018,1435.0,611.0,1022880.0,2.34860883797054
3506102,41176,2019,1433.0,563.0,984717.0,2.5452930728241565
3506102,41176,2020,1704.0,575.0,2160282.0,2.9634782608695653
3506102,41176,2021,1535.0,593.0,2639916.0,2.588532883642496
3506102,41176,2022,1599.0,600.0,2580552.0,2.665
3506102,41176,2023,1561.0,585.0,1120058.0,2.668376068376068
3506102,41160,2015,991.0,233.0,980653.0,4.253218884120171
3506102,41160,2016,894.0,236.0,817036.0,3.788135593220339
3506102,41160,2017,960.0,231.0,1411075.0,4.1558441558441555
3506102,41160,2018,963.0,211.0,1394664.0,4.563981042654029
3506102,41160,2019,1073.0,235.0,1508761.0,4.56595744680851
3506102,41160,2020,1158.0,205.0,1825089.0,5.648780487804878
3506102,41160,2021,890.0,218.0,,4.08256880733945
3506102,41160,2022,1023.0,211.0,1890713.0,4.848341232227488
3506102,41160,2023,1085.0,235.0,1827680.0,4.617021276595745
3526902,41151,2015,58597.0,5013.0,,11.689008577697985
3526902,41151,2016,47250.0,5598.0,31764808.0,8.440514469453376
3526902,41151,2017,59723.0,4846.0,58293215.0,12.324184894758563
3526902,41151,2018,57094.0,4853.0,32959059.0,11.764681640222543
3526902,41151,2019,50866.0,5543.0,33807224.0,9.176619159300017
3526902,41151,2020,45681.0,5321.0,46126466.0,8.585040405938733
3526902,41151,2021,52546.0,5054.0,25244195.0,10.396913335971508
3526902,41151,2022,52707.0,5045.0,62164530.0,10.447373637264619
3526902,41151,2023,58446.0,5362.0,45325899.0,10.900037299515107
3526902,41155,2015,7228.0,2173.0,11283135.0,3.326277036355269
3526902,41155,2016,7384.0,2105.0,10592920.0,3.507838479809976
3526902,41155,2017,7456.0,2110.0,10409181.0,3.533649289099526
3526902,41155,2018,6693.0,1961.0,6263384.0,3.41305456399796
3526902,41155,2019,6146.0,2050.0,6120221.0,2.998048780487805
3526902,41155,2020,7459.0,2271.0,6541146.0,3.2844561867018935
3526902,41155,2021,6210.0,2266.0,8899312.0,2.740511915269197
3526902,41155,2022,7018.0,2043.0,9516226.0,3.4351443954968186
3526902,41155,2023,6130.0,2024.0,,3.0286561264822134
3526902,41176,2015,5751.0,131.0,7628985.0,43.900763358778626
3526902,41176,2016,6106.0,140.0,7154322.0,43.614285714285714
3526902,41176,2018,5858.0,126.0,10644656.0,46.492063492063494
3526902,41176,2019,5198.0,128.0,5062221.0,40.609375
3526902,41176,2021,4632.0,153.0,6979467.0,30.274509803921568
3526902,41176,2022,5268.0,140.0,6529691.0,37.628571428571426
3526902,41176,2023,4557.0,148.0,8185180.0,30.79054054054054
3526902,41160,2015,1786.0,205.0,2721715.0,8.71219512195122
3526902,41160,2016,1545.0,219.0,2807948.0,7.054794520547945
3526902,41160,2017,1514.0,200.0,2844506.0,7.57
3526902,41160,2018,1853.0,186.0,3616120.0,9.96236559139785
